column,source,non_missing
ENROLL_FALL,c04_ef EFTOTLT at EFALEVEL 1 (all students total),5913
AWARDS_TOTAL,"c05_c CTOTALT, CIPCODE '99' first-major rows summed over AWLEVEL",5960
TUITION_SHARE,c10_f TUITION_REVENUE / TOTAL_REVENUES,5697
INSTR_EXP_SHARE,c10_f INSTRUCTION_EXPENSE / TOTAL_EXPENSES,5700
EXP_PER_FTE,c10_f TOTAL_EXPENSES / DRVEF2023 FTE,5692
INSTR_FTE_SHARE,DRVHR2023 SFTEINST / SFTETOTL,5911
MGMT_FTE_SHARE,DRVHR2023 SFTEMNGM / SFTETOTL,5911
TENURE_DENSITY,S2023_SIS (FACSTAT 20 + 30) / FACSTAT 0,3540
SAL_W_TO_M,SAL2023_IS SAEQ9AW / SAEQ9AM at ARANK 7,3462
PELL_GAP,DRVOM2023 OM1PELLAWDP8 - OM1NPELAWDP8 (percentage points),3331
TWELVE_TO_FALL,DRVEF122023 UNDUP / DRVEF2023 ENRTOT,5909
BA_RATE_150,GR200_23 BANC150 / BAAC150,1965
L4_RATE_150,GR200_23 L4NC150 / L4AC150,2988
ADMIT_RATE,DRVADM2023 DVADM01 (percent),1949
YIELD,DRVADM2023 DVADM04 (percent),1946
LIB_FROM_PARENT,DRVAL2023 row with no AL2023 report; library columns blanked,5988
